
# Surface 0 of 1 surfaces

# Curve title: ""p2_contourtmp1.dat""

# Contour 0, label:       10
 0.514244 -2.15153  6 
 0.515084 -2.15098  6 
 0.575689 -2.1102  6 
 0.603811 -2.09093  6 
 0.636294 -2.06837  6 
 0.690119 -2.03032  6 
 0.696899 -2.02547  6 
 0.757504 -1.98114  6 
 0.772831 -1.96972  6 
 0.818109 -1.93554  6 
 0.852531 -1.90911  6 
 0.878714 -1.88875  6 
 0.929601 -1.84851  6 
 0.939319 -1.84072  6 
 0.999924 -1.79131  6 
 1.00403 -1.7879  6 
 1.06053 -1.74038  6 
 1.07585 -1.7273  6 
 1.12113 -1.68809  6 
 1.14547 -1.66669  6 
 1.18174 -1.63437  6 
 1.213 -1.60609  6 
 1.24234 -1.57918  6 
 1.27853 -1.54548  6 
 1.30295 -1.52244  6 
 1.34215 -1.48488  6 
 1.36355 -1.46408  6 
 1.40394 -1.42427  6 
 1.42416 -1.40405  6 
 1.46397 -1.36367  6 
 1.48476 -1.34227  6 
 1.52233 -1.30306  6 
 1.54537 -1.27866  6 
 1.57907 -1.24246  6 
 1.60597 -1.21313  6 
 1.63427 -1.18185  6 
 1.66658 -1.1456  6 
 1.68799 -1.12125  6 
 1.72718 -1.07598  6 
 1.74029 -1.06064  6 
 1.78779 -1.00417  6 
 1.79121 -1.00004  6 
 1.84063 -0.939433  6 
 1.84839 -0.929744  6 
 1.88866 -0.878828  6 
 1.909 -0.852681  6 
 1.93545 -0.818223  6 
 1.9696 -0.772984  6 
 1.98105 -0.757619  6 
 2.02539 -0.697014  6 
 2.03021 -0.690281  6 
 2.0683 -0.636409  6 
 2.09081 -0.603979  6 
 2.11013 -0.575804  6 
 2.1509 -0.515199  6 
 2.15142 -0.514419  6 
 2.19017 -0.454594  6 
 2.21202 -0.420198  6 
 2.22846 -0.393989  6 
 2.26564 -0.333384  6 
 2.27263 -0.3217  6 
 2.30149 -0.272779  6 
 2.33323 -0.217837  6 
 2.33646 -0.212174  6 
 2.37001 -0.151569  6 
 2.39384 -0.107471  6 
 2.40265 -0.0909647  6 

-2.22854  0.393875  6 
-2.26571  0.33327  6 
-2.27274  0.321508  6 
-2.30156  0.272665  6 
-2.33335  0.217637  6 
-2.33653  0.21206  6 
-2.37007  0.151455  6 
-2.39395  0.107257  6 
-2.40271  0.09085  6 
-2.43406  0.0302452  6 
-2.45456 -0.0104969  6 
-2.46443 -0.0303596  6 
-2.49353 -0.0909647  6 
-2.51516 -0.137395  6 
-2.52168 -0.151569  6 
-2.54849 -0.212174  6 
-2.57444 -0.272779  6 
-2.57577 -0.27601  6 
-2.59893 -0.333384  6 
-2.62247 -0.393989  6 
-2.63637 -0.431453  6 
-2.64485 -0.454594  6 
-2.66592 -0.515199  6 
-2.68598 -0.575804  6 
-2.69698 -0.611027  6 
-2.7048 -0.636409  6 
-2.72227 -0.697014  6 
-2.73862 -0.757619  6 
-2.75382 -0.818223  6 
-2.75758 -0.834653  6 
-2.76755 -0.878828  6 
-2.77996 -0.939433  6 
-2.7911 -1.00004  6 
-2.8009 -1.06064  6 
-2.80932 -1.12125  6 
-2.8163 -1.18185  6 
-2.81819 -1.20284  6 
-2.82169 -1.24246  6 
-2.8255 -1.30306  6 
-2.82772 -1.36367  6 
-2.82828 -1.42427  6 
-2.82712 -1.48488  6 
-2.82415 -1.54548  6 
-2.8193 -1.60609  6 
-2.81819 -1.61613  6 
-2.81231 -1.66669  6 
-2.80315 -1.7273  6 
-2.79175 -1.7879  6 
-2.77802 -1.84851  6 
-2.76183 -1.90911  6 
-2.75758 -1.923  6 
-2.74255 -1.96972  6 
-2.72029 -2.03032  6 
-2.69698 -2.08638  6 
-2.69498 -2.09093  6 
-2.6655 -2.15153  6 
-2.63637 -2.2052  6 
-2.63238 -2.21214  6 
-2.59418 -2.27274  6 
-2.57577 -2.2994  6 
-2.55077 -2.33335  6 
-2.51516 -2.37774  6 
-2.50124 -2.39395  6 
-2.45456 -2.44418  6 
-2.44418 -2.45456  6 
-2.39395 -2.50124  6 
-2.37774 -2.51516  6 
-2.33335 -2.55077  6 
-2.2994 -2.57577  6 
-2.27274 -2.59418  6 
-2.21214 -2.63238  6 
-2.2052 -2.63637  6 
-2.15153 -2.6655  6 
-2.09093 -2.69498  6 
-2.08638 -2.69698  6 
-2.03032 -2.72029  6 
-1.96972 -2.74255  6 
-1.923 -2.75758  6 
-1.90911 -2.76183  6 
-1.84851 -2.77802  6 
-1.7879 -2.79175  6 
-1.7273 -2.80315  6 
-1.66669 -2.81231  6 
-1.61613 -2.81819  6 
-1.60609 -2.8193  6 
-1.54548 -2.82415  6 
-1.48488 -2.82712  6 
-1.42427 -2.82828  6 
-1.36367 -2.82772  6 
-1.30306 -2.8255  6 
-1.24246 -2.82169  6 
-1.20284 -2.81819  6 
-1.18185 -2.8163  6 
-1.12125 -2.80932  6 
-1.06064 -2.8009  6 
-1.00004 -2.7911  6 
-0.939433 -2.77996  6 
-0.878828 -2.76755  6 
-0.834653 -2.75758  6 

 1.24234  2.82168  6 
 1.20155  2.81807  6 
 1.18174  2.81629  6 
 1.12113  2.80931  6 
 1.06053  2.80088  6 
 0.999924  2.79108  6 
 0.939319  2.77994  6 
 0.878714  2.76753  6 
 0.83415  2.75747  6 
 0.818109  2.7538  6 
 0.757504  2.73859  6 
 0.696899  2.72223  6 
 0.636294  2.70476  6 
 0.610658  2.69686  6 
 0.575689  2.68595  6 
 0.515084  2.66588  6 
 0.454479  2.64481  6 
 0.431142  2.63626  6 
 0.393875  2.62243  6 
 0.33327  2.59888  6 
 0.27573  2.57565  6 
 0.272665  2.5744  6 
 0.21206  2.54844  6 
 0.151455  2.52163  6 
 0.137147  2.51505  6 
 0.09085  2.49348  6 
 0.0302452  2.46437  6 
 0.0102677  2.45444  6 
-0.0303596  2.434  6 
-0.0909647  2.40265  6 
-0.107471  2.39384  6 
-0.151569  2.37001  6 
-0.212174  2.33646  6 
-0.217837  2.33323  6 
-0.272779  2.30149  6 
-0.3217  2.27263  6 
-0.333384  2.26564  6 
-0.393989  2.22846  6 
-0.420198  2.21202  6 
-0.454594  2.19017  6 
-0.514419  2.15142  6 
-0.515199  2.1509  6 
-0.575804  2.11013  6 
-0.603979  2.09081  6 
-0.636409  2.0683  6 
-0.690281  2.03021  6 
-0.697014  2.02539  6 
-0.757619  1.98105  6 
-0.772984  1.9696  6 
-0.818223  1.93545  6 
-0.852681  1.909  6 
-0.878828  1.88866  6 
-0.929744  1.84839  6 
-0.939433  1.84063  6 
-1.00004  1.79121  6 
-1.00417  1.78779  6 
-1.06064  1.74029  6 
-1.07598  1.72718  6 
-1.12125  1.68799  6 
-1.1456  1.66658  6 
-1.18185  1.63427  6 
-1.21313  1.60597  6 
-1.24246  1.57907  6 
-1.27866  1.54537  6 
-1.30306  1.52233  6 
-1.34227  1.48476  6 
-1.36367  1.46397  6 
-1.40405  1.42416  6 
-1.42427  1.40394  6 
-1.46408  1.36355  6 
-1.48488  1.34215  6 
-1.52244  1.30295  6 
-1.54548  1.27853  6 
-1.57918  1.24234  6 
-1.60609  1.213  6 
-1.63437  1.18174  6 
-1.66669  1.14547  6 
-1.68809  1.12113  6 
-1.7273  1.07585  6 
-1.74038  1.06053  6 
-1.7879  1.00403  6 
-1.79131  0.999924  6 
-1.84072  0.939319  6 
-1.84851  0.929601  6 
-1.88875  0.878714  6 
-1.90911  0.852531  6 
-1.93554  0.818109  6 
-1.96972  0.772831  6 
-1.98114  0.757504  6 
-2.02547  0.696899  6 
-2.03032  0.690119  6 
-2.06837  0.636294  6 
-2.09093  0.603811  6 
-2.1102  0.575689  6 
-2.15098  0.515084  6 
-2.15153  0.514244  6 
-2.19025  0.454479  6 
-2.21214  0.420017  6 
-2.22854  0.393875  6 


# Contour 3, label:        4
 1.42416  2.2863  4 
 1.36355  2.29568  4 
 1.30295  2.30248  4 
